Date,Home Team,Road Team,City,State,League,Sport
04/16/23,Miami Marlins,Arizona Diamondbacks,Miami,Florida,MLB,Baseball
04/16/23,New York Yankees,Minnesota Twins,New York,New York,MLB,Baseball
04/16/23,Oakland Athletics,New York Mets,Oakland,California,MLB,Baseball
04/16/23,San Diego Padres,Milwaukee Brewers,San Diego,California,MLB,Baseball
04/16/23,Seattle Mariners,Colorado Rockies,Seattle,Washington,MLB,Baseball
04/16/23,St. Louis Cardinals,Pittsburgh Pirates,St. Louis,Missouri,MLB,Baseball
04/16/23,Toronto Blue Jays,Tampa Bay Rays,Toronto,Ontario,MLB,Baseball
04/16/23,Washington Nationals,Cleveland Guardians,Washington D.C.,Washington D.C.,MLB,Baseball
04/17/23,Boston Red Sox,Los Angeles Angels,Boston,Massachusetts,MLB,Baseball
04/17/23,Cincinnati Reds,Tampa Bay Rays,Cincinnati,Ohio,MLB,Baseball
04/17/23,Colorado Rockies,Pittsburgh Pirates,Denver,Colorado,MLB,Baseball
04/17/23,Houston Astros,Toronto Blue Jays,Houston,Texas,MLB,Baseball
04/17/23,Kansas City Royals,Texas Rangers,Kansas City,Missouri,MLB,Baseball
04/17/23,Los Angeles Dodgers,New York Mets,Los Angeles,California,MLB,Baseball
04/17/23,Miami Marlins,San Francisco Giants,Miami,Florida,MLB,Baseball
04/17/23,Oakland Athletics,Chicago Cubs,Oakland,California,MLB,Baseball
04/17/23,San Diego Padres,Atlanta Braves,San Diego,California,MLB,Baseball
04/17/23,Seattle Mariners,Milwaukee Brewers,Seattle,Washington,MLB,Baseball
04/17/23,St. Louis Cardinals,Arizona Diamondbacks,St. Louis,Missouri,MLB,Baseball
04/18/23,Boston Red Sox,Minnesota Twins,Boston,Massachusetts,MLB,Baseball
04/18/23,Chicago White Sox,Philadelphia Phillies,Chicago,Illinois,MLB,Baseball
04/18/23,Chicago White Sox,Philadelphia Phillies,Chicago,Illinois,MLB,Baseball
04/18/23,Cincinnati Reds,Tampa Bay Rays,Cincinnati,Ohio,MLB,Baseball
04/18/23,Colorado Rockies,Pittsburgh Pirates,Denver,Colorado,MLB,Baseball
04/18/23,Detroit Tigers,Cleveland Guardians,Detroit,Michigan,MLB,Baseball
04/18/23,Detroit Tigers,Cleveland Guardians,Detroit,Michigan,MLB,Baseball
04/18/23,Houston Astros,Toronto Blue Jays,Houston,Texas,MLB,Baseball
04/18/23,Kansas City Royals,Texas Rangers,Kansas City,Missouri,MLB,Baseball
04/18/23,Los Angeles Dodgers,New York Mets,Los Angeles,California,MLB,Baseball
04/18/23,Miami Marlins,San Francisco Giants,Miami,Florida,MLB,Baseball
04/18/23,New York Yankees,Los Angeles Angels,New York,New York,MLB,Baseball
04/18/23,Oakland Athletics,Chicago Cubs,Oakland,California,MLB,Baseball
04/18/23,San Diego Padres,Atlanta Braves,San Diego,California,MLB,Baseball
04/18/23,Seattle Mariners,Milwaukee Brewers,Seattle,Washington,MLB,Baseball
04/18/23,St. Louis Cardinals,Arizona Diamondbacks,St. Louis,Missouri,MLB,Baseball
04/18/23,Washington Nationals,Baltimore Orioles,Washington D.C.,Washington D.C.,MLB,Baseball
04/19/23,Boston Red Sox,Minnesota Twins,Boston,Massachusetts,MLB,Baseball
04/19/23,Chicago White Sox,Philadelphia Phillies,Chicago,Illinois,MLB,Baseball
04/19/23,Cincinnati Reds,Tampa Bay Rays,Cincinnati,Ohio,MLB,Baseball
04/19/23,Colorado Rockies,Pittsburgh Pirates,Denver,Colorado,MLB,Baseball
04/19/23,Detroit Tigers,Cleveland Guardians,Detroit,Michigan,MLB,Baseball
04/19/23,Houston Astros,Toronto Blue Jays,Houston,Texas,MLB,Baseball
04/19/23,Kansas City Royals,Texas Rangers,Kansas City,Missouri,MLB,Baseball
04/19/23,Los Angeles Dodgers,New York Mets,Los Angeles,California,MLB,Baseball
04/19/23,Miami Marlins,San Francisco Giants,Miami,Florida,MLB,Baseball
04/19/23,New York Yankees,Los Angeles Angels,New York,New York,MLB,Baseball
04/19/23,Oakland Athletics,Chicago Cubs,Oakland,California,MLB,Baseball
04/19/23,San Diego Padres,Atlanta Braves,San Diego,California,MLB,Baseball
04/19/23,Seattle Mariners,Milwaukee Brewers,Seattle,Washington,MLB,Baseball
04/19/23,St. Louis Cardinals,Arizona Diamondbacks,St. Louis,Missouri,MLB,Baseball
04/19/23,Washington Nationals,Baltimore Orioles,Washington D.C.,Washington D.C.,MLB,Baseball
04/20/23,Arizona Diamondbacks,San Diego Padres,Phoenix,Arizona,MLB,Baseball
04/20/23,Boston Red Sox,Minnesota Twins,Boston,Massachusetts,MLB,Baseball
04/20/23,Chicago Cubs,Los Angeles Dodgers,Chicago,Illinois,MLB,Baseball
04/20/23,New York Yankees,Los Angeles Angels,New York,New York,MLB,Baseball
04/20/23,Philadelphia Phillies,Colorado Rockies,Philadelphia,Pennsylvania,MLB,Baseball
04/20/23,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh,Pennsylvania,MLB,Baseball
04/20/23,San Francisco Giants,New York Mets,San Francisco,California,MLB,Baseball
04/21/23,Los Angeles Angels,Kansas City Royals,Los Angeles,California,MLB,Baseball
04/21/23,Arizona Diamondbacks,San Diego Padres,Phoenix,Arizona,MLB,Baseball
04/21/23,Atlanta Braves,Houston Astros,Atlanta,Georgia,MLB,Baseball
04/21/23,Baltimore Orioles,Detroit Tigers,Baltimore,Maryland,MLB,Baseball
04/21/23,Chicago Cubs,Los Angeles Dodgers,Chicago,Illinois,MLB,Baseball
04/21/23,Milwaukee Brewers,Boston Red Sox,Milwaukee,Wisconsin,MLB,Baseball
04/21/23,Minnesota Twins,Washington Nationals,Minneapolis,Minnesota,MLB,Baseball
04/21/23,New York Yankees,Toronto Blue Jays,New York,New York,MLB,Baseball
04/21/23,Philadelphia Phillies,Colorado Rockies,Philadelphia,Pennsylvania,MLB,Baseball
04/21/23,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh,Pennsylvania,MLB,Baseball
04/21/23,Seattle Mariners,St. Louis Cardinals,Seattle,Washington,MLB,Baseball
04/21/23,San Francisco Giants,New York Mets,San Francisco,California,MLB,Baseball
04/21/23,Tampa Bay Rays,Chicago White Sox,Tampa,Florida,MLB,Baseball
04/21/23,Texas Rangers,Oakland Athletics,Arlington,Texas,MLB,Baseball
04/22/23,Los Angeles Angels,Kansas City Royals,Los Angeles,California,MLB,Baseball
04/22/23,Arizona Diamondbacks,San Diego Padres,Phoenix,Arizona,MLB,Baseball
04/22/23,Atlanta Braves,Houston Astros,Atlanta,Georgia,MLB,Baseball
04/22/23,Baltimore Orioles,Detroit Tigers,Baltimore,Maryland,MLB,Baseball
04/22/23,Chicago Cubs,Los Angeles Dodgers,Chicago,Illinois,MLB,Baseball
04/22/23,Cleveland Guardians,Miami Marlins,Cleveland,Ohio,MLB,Baseball
04/22/23,Cleveland Guardians,Miami Marlins,Cleveland,Ohio,MLB,Baseball
04/22/23,Milwaukee Brewers,Boston Red Sox,Milwaukee,Wisconsin,MLB,Baseball
04/22/23,Minnesota Twins,Washington Nationals,Minneapolis,Minnesota,MLB,Baseball
04/22/23,New York Yankees,Toronto Blue Jays,New York,New York,MLB,Baseball
04/22/23,Philadelphia Phillies,Colorado Rockies,Philadelphia,Pennsylvania,MLB,Baseball
