id,game_date,home_team,road_team,city,state,league,sport
231,04/04/2023,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
232,04/04/2023,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
233,04/04/2023,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
234,04/04/2023,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
235,04/05/2023,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
236,04/05/2023,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
237,04/05/2023,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
238,04/05/2023,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
239,04/05/2023,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
240,04/05/2023,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
241,04/05/2023,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
242,04/05/2023,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
243,04/05/2023,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
244,04/05/2023,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
245,04/05/2023,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
246,04/05/2023,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
247,04/06/2023,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
248,04/06/2023,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
249,04/06/2023,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
250,04/06/2023,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
251,04/06/2023,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
252,04/06/2023,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
253,04/07/2023,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
254,04/07/2023,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
255,04/07/2023,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
256,04/07/2023,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
257,04/07/2023,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
258,04/07/2023,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
259,04/07/2023,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
260,04/07/2023,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
261,04/07/2023,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
262,04/07/2023,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
263,04/07/2023,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
264,04/07/2023,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
265,04/07/2023,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
266,04/07/2023,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
267,04/08/2023,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
268,04/08/2023,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
269,04/08/2023,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
270,04/08/2023,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
271,04/08/2023,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
272,04/08/2023,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
273,04/08/2023,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
274,04/08/2023,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
275,04/08/2023,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
276,04/08/2023,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
277,04/08/2023,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
278,04/08/2023,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
279,04/08/2023,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
280,04/08/2023,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
281,04/08/2023,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
282,04/09/2023,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
283,04/09/2023,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
284,04/09/2023,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
285,04/09/2023,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
286,04/09/2023,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
287,04/09/2023,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
288,04/09/2023,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
289,04/09/2023,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
290,04/09/2023,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
291,04/09/2023,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
292,04/09/2023,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
293,04/09/2023,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
294,04/09/2023,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
295,04/09/2023,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
